"species" "location" "dbh" "age"
"beech" "D" 24 46
"beech" "D" 29 48
"spruce" "C" 20 51
"spruce" "A" 22 50
"beech" "B" 24 34
"oak" "B" 28 83
"spruce" "D" 24 61
"beech" "A" 26 46
"beech" "C" 32 47
"beech" "D" 36 53
"beech" "D" 33 61
"spruce" "D" 24 53
"spruce" "D" 25 49
"oak" "D" 25 42
"birch" "A" 12 27
"oak" "C" 15 29
"spruce" "C" 22 52
"birch" "A" 16 36
"beech" "D" 28 47
"beech" "B" 25 41
"beech" "B" 24 41
"beech" "A" 35 45
"beech" "A" 30 41
"spruce" "B" 24 52
"spruce" "B" 21 41
"spruce" "C" 12 17
"birch" "D" 16 34
"spruce" "A" 24 43
"beech" "D" 27 49
"spruce" "C" 22 58
"spruce" "B" 24 62
"oak" "B" 22 28
"beech" "B" 27 44
"spruce" "A" 21 37
"spruce" "C" 25 61
"beech" "C" 26 27
"fir" "C" 27 21
"beech" "B" 23 40
"spruce" "A" 17 34
"oak" "D" 31 49
"spruce" "D" 23 64
"oak" "D" 30 53
"beech" "A" 38 75
"spruce" "D" 30 78
"beech" "D" 22 37
"spruce" "A" 27 73
"beech" "C" 27 47
"fir" "D" 32 20
"fir" "B" 24 24
"birch" "A" 13 28
"oak" "C" 22 47
"beech" "B" 23 42
"oak" "A" 17 34
"beech" "C" 20 31
"spruce" "A" 19 43
"oak" "C" 22 54
"spruce" "B" 16 26
"oak" "D" 31 53
"birch" "C" 12 22
"beech" "A" 34 83
"spruce" "D" 27 74
"fir" "B" 28 22
"beech" "B" 34 49
"spruce" "B" 18 34
"oak" "C" 21 40
"beech" "D" 27 48
"spruce" "B" 27 69
"oak" "A" 24 60
"oak" "D" 30 49
"oak" "A" 24 62
"oak" "D" 20 24
"oak" "D" 20 28
"birch" "C" 11 19
"spruce" "B" 20 41
"spruce" "A" 24 38
"beech" "B" 24 46
"spruce" "D" 25 32
"beech" "B" 28 56
"oak" "B" 21 33
"beech" "D" 30 48
"beech" "B" 18 28
"spruce" "D" 22 38
"oak" "D" 17 45
"beech" "C" 23 37
"beech" "D" 32 53
"oak" "D" 22 33
"spruce" "B" 24 48
"beech" "C" 29 52
"beech" "A" 29 57
"beech" "B" 27 42
"beech" "D" 13 16
"spruce" "B" 25 58
"beech" "B" 32 69
"spruce" "A" 24 39
"beech" "D" 25 26
"fir" "A" 18 21
"oak" "D" 27 63
"beech" "B" 20 27
"beech" "D" 26 50
"spruce" "D" 19 31
"spruce" "B" 20 47
"oak" "A" 24 44
"beech" "D" 28 62
"spruce" "D" 18 30
"spruce" "B" 21 49
"beech" "B" 30 47
"fir" "A" 22 24
"beech" "B" 32 48
"spruce" "B" 19 35
"beech" "A" 27 54
"birch" "A" 16 41
"spruce" "D" 23 45
"spruce" "A" 25 69
"beech" "A" 41 65
"spruce" "A" 28 51
"beech" "B" 29 44
"birch" "B" 11 17
"spruce" "D" 25 50
"spruce" "C" 23 40
"spruce" "C" 24 65
"spruce" "C" 22 38
"oak" "A" 22 26
"beech" "C" 21 35
"beech" "B" 34 52
"oak" "A" 35 62
"spruce" "D" 29 82
"beech" "C" 23 32
"beech" "D" 30 61
"birch" "B" 13 21
"spruce" "C" 25 62
"spruce" "A" 25 63
"oak" "A" 30 74
"beech" "D" 28 37
"beech" "D" 29 52
"spruce" "D" 20 38
"spruce" "C" 23 59
"beech" "A" 34 54
"oak" "A" 26 60
"oak" "A" 13 21
"oak" "A" 32 55
"spruce" "C" 26 60
"oak" "A" 27 56
"spruce" "C" 23 47
"spruce" "D" 22 54
"spruce" "D" 27 73
"beech" "C" 25 43
"spruce" "A" 23 39
"spruce" "B" 20 46
"spruce" "B" 23 56
"beech" "C" 33 61
"beech" "B" 28 34
"beech" "C" 29 53
"spruce" "A" 25 65
"beech" "C" 22 30
"spruce" "B" 24 51
"birch" "B" 15 27
"oak" "B" 23 39
"spruce" "D" 26 73
"oak" "B" 16 25
"fir" "D" 26 30
"spruce" "B" 23 43
"spruce" "D" 25 45
"beech" "B" 29 37
"oak" "B" 23 36
"beech" "C" 26 34
"beech" "B" 28 52
"beech" "A" 27 45
"beech" "B" 30 48
"oak" "D" 32 81
"beech" "C" 26 40
"beech" "D" 37 84
"oak" "B" 35 69
"fir" "C" 27 37
"oak" "B" 22 40
"spruce" "B" 23 58
"spruce" "C" 23 49
"beech" "D" 32 45
"spruce" "D" 24 44
"spruce" "A" 25 61
"birch" "D" 16 37
"fir" "B" 23 32
"beech" "D" 45 91
"fir" "C" 39 42
"beech" "B" 26 42
"oak" "A" 26 46
"spruce" "B" 21 49
"spruce" "C" 23 47
"oak" "C" 18 27
"oak" "D" 12 23
"oak" "C" 19 39
"birch" "A" 15 41
"beech" "C" 25 36
"oak" "C" 14 23
"beech" "D" 36 50
"spruce" "D" 29 59
"spruce" "B" 21 65
"oak" "B" 20 23
"beech" "A" 45 73
"spruce" "C" 23 52
"fir" "A" 33 36
"spruce" "A" 24 53
"beech" "D" 28 46
"spruce" "B" 31 52
"beech" "D" 29 40
"spruce" "A" 25 57
"oak" "B" 29 55
"beech" "B" 26 35
"oak" "C" 33 53
"beech" "B" 22 34
"beech" "A" 34 66
"oak" "B" 23 56
"beech" "B" 27 43
"spruce" "A" 19 51
"beech" "C" 29 45
"oak" "A" 27 53
"beech" "C" 30 47
"oak" "A" 27 46
"beech" "D" 26 54
"beech" "D" 29 53
"beech" "B" 31 41
"birch" "D" 15 36
"birch" "A" 18 44
"beech" "A" 35 58
"spruce" "C" 21 38
"beech" "B" 22 30
"oak" "A" 14 26
"spruce" "C" 19 36
"spruce" "A" 25 64
"oak" "A" 27 34
"oak" "C" 23 44
"beech" "B" 30 45
"oak" "A" 13 26
"spruce" "A" 26 77
"spruce" "C" 23 41
"beech" "D" 27 39
"spruce" "B" 22 64
"spruce" "C" 24 56
"beech" "B" 25 32
"spruce" "B" 24 53
"spruce" "C" 25 56
"oak" "A" 25 38
"birch" "B" 14 30
"beech" "A" 31 70
"spruce" "A" 28 84
"beech" "A" 20 34
"spruce" "A" 24 44
"oak" "D" 24 54
"beech" "C" 19 30
"beech" "C" 29 61
"spruce" "D" 28 52
"beech" "C" 30 58
"oak" "D" 28 47
"oak" "D" 22 47
"beech" "C" 27 49
"birch" "C" 15 27
"spruce" "C" 20 37
"beech" "A" 33 57
"oak" "B" 23 31
"spruce" "A" 25 73
"spruce" "B" 20 45
"spruce" "C" 27 63
"beech" "A" 15 20
"oak" "C" 23 41
"oak" "B" 24 44
"spruce" "B" 21 35
"beech" "A" 28 54
"spruce" "D" 24 57
"oak" "A" 22 32
"beech" "A" 38 63
"oak" "D" 34 63
"beech" "C" 32 56
"beech" "D" 31 45
"oak" "D" 37 45
"beech" "B" 22 41
"beech" "B" 22 30
"spruce" "D" 23 43
"oak" "A" 17 25
"oak" "D" 30 52
"spruce" "A" 24 59
"spruce" "A" 22 35
"spruce" "D" 25 54
"spruce" "D" 21 40
"spruce" "B" 23 59
"beech" "D" 31 36
"spruce" "B" 23 49
"spruce" "C" 24 37
"spruce" "D" 26 78
"oak" "B" 20 39
"spruce" "D" 21 44
"beech" "D" 37 59
"spruce" "C" 23 55
"oak" "A" 17 32
"fir" "C" 18 18
"birch" "B" 12 16
"oak" "D" 21 22
"beech" "A" 27 42
"oak" "D" 15 31
"beech" "B" 23 39
"oak" "C" 28 67
"oak" "C" 38 52
"oak" "C" 25 44
"oak" "A" 22 39
"oak" "A" 21 40
"oak" "A" 18 25
"oak" "A" 24 42
"beech" "B" 21 39
"fir" "D" 25 26
"oak" "C" 12 26
"fir" "C" 29 31
"beech" "D" 28 59
"oak" "D" 20 37
"birch" "C" 12 23
"beech" "B" 34 62
"beech" "C" 26 37
"beech" "D" 28 40
"birch" "B" 11 20
"spruce" "C" 24 58
"spruce" "B" 22 51
"spruce" "C" 22 48
"oak" "C" 23 24
"beech" "C" 26 24
"oak" "A" 32 66
"fir" "D" 29 35
"birch" "C" 15 31
"spruce" "A" 24 58
"spruce" "B" 24 57
"fir" "A" 34 36
"beech" "C" 21 28
"beech" "C" 28 54
"oak" "C" 22 55
"beech" "A" 27 46
"beech" "D" 25 39
"beech" "A" 21 27
"oak" "D" 30 45
"beech" "C" 33 63
"oak" "B" 13 24
"oak" "D" 29 63
"oak" "B" 15 31
"oak" "A" 13 23
"beech" "B" 28 37
"spruce" "C" 31 75
"oak" "B" 21 39
"oak" "B" 17 35
"spruce" "B" 22 66
"beech" "B" 25 38
"oak" "B" 24 31
"spruce" "B" 18 40
"beech" "A" 32 58
"beech" "B" 29 55
"oak" "C" 15 21
"oak" "B" 13 20
"beech" "B" 26 39
"spruce" "D" 28 46
"spruce" "C" 30 76
"beech" "A" 24 43
"beech" "C" 27 44
"oak" "B" 21 38
"spruce" "A" 25 57
"spruce" "B" 22 51
"birch" "D" 11 16
"oak" "B" 24 40
"spruce" "A" 21 37
"oak" "C" 26 35
"spruce" "C" 21 33
"spruce" "B" 22 36
"beech" "A" 26 51
"oak" "B" 23 44
"oak" "A" 34 62
"beech" "C" 33 64
"oak" "A" 24 37
"beech" "D" 26 47
"birch" "D" 13 19
"oak" "B" 19 45
"beech" "A" 32 62
"beech" "A" 30 54
"oak" "C" 22 47
"fir" "B" 22 22
"spruce" "B" 24 63
"birch" "B" 9 13
"beech" "A" 30 47
"spruce" "B" 25 72
"spruce" "A" 26 53
"spruce" "A" 27 91
"spruce" "A" 24 45
"fir" "D" 47 37
"spruce" "D" 27 81
"spruce" "B" 27 55
"beech" "C" 25 35
"spruce" "C" 26 64
"beech" "B" 34 71
"birch" "A" 15 28
"beech" "D" 27 44
"beech" "B" 32 62
"oak" "A" 27 65
"oak" "A" 25 54
"oak" "A" 24 40
"oak" "B" 16 32
"beech" "C" 19 29
"spruce" "B" 28 68
"beech" "C" 28 41
"spruce" "B" 21 53
"beech" "C" 19 31
"oak" "C" 16 34
"beech" "D" 24 46
"birch" "A" 13 13
"spruce" "B" 29 94
"beech" "C" 30 49
"beech" "A" 27 42
"oak" "B" 30 57
"birch" "D" 19 40
"spruce" "D" 22 51
"oak" "A" 25 62
"beech" "C" 26 43
"spruce" "C" 22 30
"spruce" "A" 31 80
"beech" "C" 35 52
"spruce" "D" 22 55
"oak" "C" 30 70
"spruce" "C" 23 56
"oak" "D" 25 44
"beech" "A" 29 38
"spruce" "A" 21 44
"spruce" "C" 22 46
"spruce" "B" 18 43
"spruce" "C" 22 63
"spruce" "C" 20 34
"beech" "A" 38 70
"spruce" "D" 25 38
"oak" "D" 17 33
"fir" "D" 40 30
"oak" "B" 15 30
"spruce" "D" 22 46
"spruce" "B" 21 36
"spruce" "C" 28 53
"oak" "A" 25 56
"spruce" "A" 22 37
"spruce" "A" 20 30
"beech" "A" 33 65
"spruce" "C" 21 45
"spruce" "C" 22 52
"spruce" "B" 20 30
"beech" "D" 30 51
"birch" "C" 13 17
"oak" "A" 21 35
"birch" "A" 16 26
"birch" "B" 15 28
"fir" "A" 31 31
"oak" "B" 26 37
"oak" "B" 26 31
"spruce" "D" 25 47
"beech" "C" 22 39
"beech" "B" 32 58
"beech" "A" 25 32
"beech" "A" 28 53
"oak" "B" 14 24
"beech" "D" 35 71
"oak" "B" 20 34
"oak" "D" 9 12
"spruce" "B" 30 71
"beech" "B" 33 66
"oak" "D" 30 41
"oak" "A" 25 48
"oak" "A" 30 51
"oak" "B" 15 17
"beech" "B" 25 48
"birch" "B" 14 26
"birch" "A" 13 25
"spruce" "D" 26 64
"oak" "C" 20 43
"spruce" "C" 21 42
"spruce" "A" 21 52
"oak" "C" 40 66
"spruce" "B" 22 49
"fir" "A" 30 26
"oak" "B" 2 1
"spruce" "D" 21 41
"oak" "D" 30 49
"beech" "A" 30 55
"spruce" "D" 26 60
"beech" "B" 26 36
"spruce" "D" 24 41
"oak" "D" 25 41
"oak" "C" 23 70
"beech" "C" 31 63
"spruce" "B" 25 44
"spruce" "A" 25 60
"oak" "A" 25 44
"oak" "A" 29 68
"fir" "C" 3 5
"spruce" "B" 24 56
"beech" "C" 20 35
"beech" "A" 28 42
"spruce" "B" 21 43
"oak" "B" 34 69
"spruce" "A" 26 43
"beech" "C" 19 31
"beech" "C" 30 68
"spruce" "A" 21 44
"spruce" "D" 29 85
"oak" "C" 17 30
"birch" "D" 14 28
"spruce" "A" 22 50
"spruce" "D" 31 67
"spruce" "B" 23 49
"fir" "C" 35 44
"beech" "B" 30 37
"oak" "D" 30 37
"spruce" "D" 24 48
"spruce" "C" 21 44
"spruce" "C" 22 31
"oak" "D" 40 91
"fir" "C" 29 27
"oak" "A" 23 55
"oak" "A" 27 46
"beech" "B" 21 26
"birch" "B" 12 27
"oak" "A" 21 33
"oak" "D" 22 40
"birch" "C" 13 20
"birch" "C" 14 17
"oak" "B" 21 35
"oak" "C" 26 52
"birch" "A" 18 37
"beech" "B" 25 42
"oak" "D" 23 23
"oak" "D" 30 51
"spruce" "D" 22 63
"oak" "D" 41 85
"oak" "B" 29 57
"spruce" "C" 23 49
"beech" "D" 35 57
"beech" "C" 28 42
"spruce" "A" 23 58
"spruce" "C" 23 59
"beech" "C" 26 42
"spruce" "D" 27 60
"beech" "C" 23 33
"beech" "D" 33 61
"oak" "D" 28 30
"beech" "B" 28 47
"beech" "A" 31 51
"oak" "C" 21 45
"beech" "B" 25 44
"spruce" "C" 23 46
"beech" "D" 27 49
"spruce" "B" 31 81
"oak" "A" 19 39
"oak" "B" 11 24
"spruce" "B" 20 33
"beech" "A" 22 27
"beech" "A" 24 33
"oak" "A" 24 45
"spruce" "C" 22 57
"beech" "C" 39 64
"spruce" "B" 20 57
"beech" "A" 25 43
"spruce" "A" 24 61
"oak" "C" 24 44
"spruce" "B" 24 53
"fir" "D" 37 37
"oak" "B" 15 33
"spruce" "D" 21 43
"oak" "A" 17 27
"beech" "B" 30 38
"birch" "D" 13 26
"spruce" "A" 19 48
"oak" "B" 35 64
"fir" "C" 28 27
"birch" "B" 15 28
"beech" "C" 40 67
"birch" "B" 12 24
"birch" "B" 17 42
"spruce" "A" 28 67
"beech" "A" 36 94
"birch" "D" 15 29
"beech" "D" 25 39
"beech" "B" 30 49
"beech" "D" 33 74
"spruce" "A" 21 43
"beech" "B" 19 29
"fir" "B" 21 29
"spruce" "B" 26 49
"spruce" "C" 20 51
"beech" "C" 19 25
"spruce" "C" 18 45
"fir" "D" 29 32
"beech" "D" 32 71
"beech" "D" 36 67
"beech" "B" 32 59
"fir" "B" 30 28
"spruce" "B" 25 66
"spruce" "D" 27 66
"spruce" "B" 24 63
"beech" "A" 15 20
"spruce" "B" 23 50
"oak" "C" 15 25
"oak" "A" 18 43
"beech" "D" 30 54
"spruce" "D" 24 39
"beech" "C" 29 42
"spruce" "C" 22 67
"oak" "B" 13 17
"birch" "A" 16 23
"spruce" "C" 24 59
"spruce" "B" 25 56
"oak" "D" 9 17
"spruce" "C" 25 42
"birch" "A" 13 25
"spruce" "B" 21 52
"spruce" "C" 27 56
"beech" "B" 32 57
"spruce" "C" 23 53
"spruce" "C" 32 80
"beech" "B" 25 39
"oak" "C" 23 69
"beech" "B" 31 47
"beech" "C" 28 37
"spruce" "B" 28 76
"fir" "C" 19 21
"oak" "D" 15 27
"oak" "D" 31 56
"beech" "A" 33 61
"oak" "D" 23 49
"spruce" "B" 19 41
"spruce" "A" 26 85
"oak" "D" 25 46
"oak" "C" 16 31
"beech" "A" 35 68
"beech" "C" 36 80
"beech" "D" 28 58
"beech" "A" 28 48
"oak" "A" 29 56
"beech" "D" 35 65
"spruce" "A" 28 79
"oak" "A" 24 30
"beech" "B" 32 54
"spruce" "A" 17 43
"spruce" "D" 23 43
"oak" "C" 29 59
"oak" "D" 17 21
"spruce" "D" 23 53
"beech" "C" 31 54
"fir" "A" 30 21
"oak" "A" 37 69
"spruce" "C" 23 66
"spruce" "D" 26 73
"spruce" "B" 27 66
"beech" "C" 29 58
"beech" "C" 23 36
"fir" "B" 26 37
"oak" "B" 28 51
"spruce" "C" 26 55
"oak" "C" 28 68
"oak" "A" 17 28
"beech" "D" 40 77
"spruce" "C" 24 38
"beech" "D" 23 39
"fir" "A" 35 36
"fir" "B" 28 26
"oak" "D" 25 38
"oak" "B" 28 39
"spruce" "B" 25 57
"birch" "B" 14 30
"beech" "C" 27 57
"beech" "A" 28 36
"beech" "D" 34 62
"birch" "B" 11 20
"oak" "C" 26 52
"oak" "B" 15 24
"oak" "D" 20 50
"beech" "B" 25 45
"spruce" "D" 23 35
"oak" "C" 31 57
"beech" "C" 34 66
"beech" "A" 27 52
"birch" "B" 14 28
"oak" "C" 31 32
"oak" "B" 13 28
"oak" "B" 21 46
"spruce" "B" 24 47
"oak" "B" 22 36
"oak" "B" 23 36
"spruce" "D" 29 86
"oak" "B" 19 23
"oak" "D" 15 26
"oak" "D" 30 65
"oak" "D" 18 44
"birch" "C" 11 18
"spruce" "D" 21 41
"fir" "C" 33 29
"beech" "D" 25 32
"beech" "A" 28 31
"beech" "D" 30 48
"spruce" "B" 23 59
"spruce" "B" 29 80
"spruce" "C" 20 54
"spruce" "D" 26 49
"oak" "D" 27 42
"spruce" "D" 23 56
"beech" "A" 32 56
"oak" "D" 34 89
"oak" "A" 26 52
"oak" "C" 22 38
"spruce" "D" 25 57
"beech" "D" 29 49
"birch" "A" 14 27
"beech" "B" 30 48
"spruce" "A" 23 53
"oak" "C" 20 39
"spruce" "C" 23 65
"beech" "B" 29 36
"beech" "C" 34 41
"spruce" "D" 31 108
"beech" "A" 26 50
"spruce" "A" 26 62
"beech" "B" 31 41
"oak" "C" 23 38
"birch" "C" 15 38
"spruce" "D" 23 52
"beech" "B" 30 58
"fir" "C" 19 24
"birch" "D" 16 31
"spruce" "A" 27 60
"beech" "D" 29 44
"oak" "A" 35 44
"spruce" "D" 27 76
"oak" "D" 34 60
"oak" "B" 19 45
"beech" "A" 32 76
"beech" "B" 32 37
"spruce" "B" 25 54
"spruce" "D" 21 44
"fir" "D" 23 16
"birch" "D" 14 21
"beech" "B" 26 46
"spruce" "A" 25 67
"beech" "C" 27 40
"beech" "D" 30 48
"oak" "D" 21 46
"spruce" "D" 30 77
"beech" "C" 33 44
"spruce" "D" 24 45
"beech" "B" 31 44
"spruce" "A" 29 85
"beech" "C" 30 57
"oak" "C" 30 65
"oak" "B" 23 40
"oak" "A" 24 29
"oak" "B" 25 36
"oak" "D" 39 43
"oak" "A" 15 24
"spruce" "D" 23 48
"birch" "B" 15 29
"spruce" "D" 23 48
"oak" "A" 23 50
"beech" "B" 23 38
"spruce" "C" 26 38
"beech" "A" 39 85
"fir" "C" 42 49
"beech" "D" 30 45
"oak" "A" 32 90
"beech" "A" 19 26
"birch" "D" 17 32
"spruce" "B" 29 42
"spruce" "A" 25 57
"oak" "C" 28 44
"oak" "B" 24 40
"oak" "A" 22 61
"beech" "B" 26 51
"fir" "A" 31 40
"spruce" "B" 19 37
"beech" "B" 30 49
"beech" "D" 26 44
"spruce" "B" 23 55
"spruce" "D" 27 65
"spruce" "A" 23 47
"beech" "B" 25 46
"beech" "D" 30 63
"spruce" "A" 28 62
"oak" "A" 21 31
"birch" "C" 18 34
"fir" "B" 30 28
"spruce" "D" 29 42
"beech" "B" 33 55
"spruce" "D" 29 74
"birch" "B" 11 17
"birch" "C" 16 35
"oak" "D" 19 32
"beech" "A" 34 59
"spruce" "B" 22 50
"spruce" "A" 30 68
"oak" "B" 35 67
"beech" "A" 36 60
"fir" "A" 37 42
"spruce" "D" 22 48
"spruce" "A" 27 47
"beech" "C" 32 47
"spruce" "A" 26 53
"beech" "B" 32 43
"oak" "D" 35 83
"oak" "D" 11 14
"spruce" "C" 22 41
"birch" "D" 15 23
"birch" "B" 14 27
"birch" "D" 12 19
"oak" "A" 22 43
"beech" "A" 35 80
"beech" "D" 33 71
"birch" "D" 11 17
"beech" "A" 25 45
"spruce" "D" 25 64
"birch" "A" 18 38
"beech" "B" 42 74
"spruce" "D" 26 40
"oak" "C" 36 68
"spruce" "D" 25 72
"spruce" "D" 25 79
"beech" "A" 37 77
"oak" "B" 25 52
"spruce" "C" 26 59
"oak" "C" 24 29
"spruce" "A" 24 56
"spruce" "D" 25 66
"beech" "A" 41 77
"beech" "C" 24 44
"beech" "B" 22 42
"spruce" "B" 24 49
"spruce" "A" 20 46
"spruce" "A" 30 57
"beech" "B" 27 29
"beech" "A" 29 53
"beech" "C" 28 37
"fir" "A" 40 49
"beech" "B" 26 39
"beech" "C" 28 51
"spruce" "B" 29 39
"spruce" "B" 23 47
"spruce" "A" 26 37
"beech" "B" 37 62
"beech" "B" 22 40
"oak" "B" 18 37
"beech" "C" 27 32
"beech" "A" 32 58
"spruce" "D" 27 79
"spruce" "B" 18 32
"beech" "A" 28 30
"spruce" "B" 26 43
"spruce" "A" 24 60
"spruce" "C" 24 47
"birch" "B" 12 19
"fir" "C" 29 39
"fir" "A" 44 39
"spruce" "C" 20 34
"oak" "D" 21 37
"oak" "A" 19 36
"oak" "B" 17 29
"oak" "A" 22 52
"beech" "A" 29 60
"beech" "D" 32 62
"fir" "B" 27 27
"beech" "B" 23 39
"spruce" "C" 21 44
"spruce" "D" 27 72
"oak" "B" 29 62
"spruce" "B" 20 50
"spruce" "A" 26 71
"oak" "B" 20 40
"birch" "C" 15 35
"beech" "C" 29 44
"beech" "D" 33 57
"spruce" "B" 23 52
"oak" "C" 24 40
"fir" "B" 22 17
"spruce" "C" 23 56
"beech" "B" 27 40
"spruce" "B" 22 42
"oak" "C" 10 12
"birch" "A" 15 24
"oak" "A" 31 59
"spruce" "A" 29 80
"spruce" "C" 26 75
"beech" "C" 26 42
"spruce" "C" 22 42
"spruce" "D" 23 55
"spruce" "D" 23 63
"fir" "A" 37 38
"birch" "A" 11 22
"oak" "C" 12 21
"beech" "A" 28 39
"beech" "A" 27 42
"birch" "C" 14 35
"spruce" "D" 27 88
"beech" "C" 31 45
"spruce" "B" 28 83
"spruce" "D" 22 24
"beech" "B" 18 27
"birch" "C" 11 24
"beech" "A" 32 64
"oak" "C" 14 24
"beech" "D" 30 59
"spruce" "D" 26 58
"fir" "B" 36 39
"oak" "A" 20 48
"spruce" "A" 23 54
"spruce" "B" 28 79
"beech" "A" 30 53
"spruce" "D" 22 58
"oak" "A" 16 16
"spruce" "B" 20 39
"spruce" "A" 24 34
"beech" "B" 20 36
"spruce" "D" 22 52
"oak" "A" 28 55
"spruce" "C" 27 72
"spruce" "A" 26 50
"fir" "A" 17 14
"beech" "B" 30 55
"oak" "D" 12 18
"beech" "B" 27 54
"beech" "B" 36 67
"beech" "B" 33 23
"beech" "D" 33 50
"spruce" "D" 30 47
"beech" "C" 26 45
"oak" "C" 19 37
"spruce" "A" 30 37
"fir" "C" 28 24
"spruce" "C" 24 61
"spruce" "C" 26 42
"beech" "C" 27 36
"beech" "D" 29 52
"oak" "B" 25 53
"oak" "C" 17 40
"beech" "D" 32 41
"beech" "B" 25 44
"oak" "C" 19 43
"fir" "A" 18 24
"spruce" "D" 25 65
"birch" "C" 15 34
"beech" "C" 27 44
"spruce" "C" 24 63
"oak" "C" 25 46
"beech" "A" 32 63
"beech" "B" 23 33
"birch" "C" 13 25
"spruce" "D" 27 53
"beech" "C" 35 62
"beech" "A" 27 35
"beech" "A" 23 33
"spruce" "B" 28 57
"beech" "B" 29 42
"spruce" "D" 24 61
"oak" "C" 28 69
"birch" "A" 17 34
"oak" "C" 31 85
"beech" "D" 24 40
"beech" "C" 15 22
"beech" "D" 28 55
"oak" "D" 27 41
"spruce" "A" 21 53
"beech" "B" 27 43
"beech" "D" 25 46
"spruce" "D" 27 64
"spruce" "A" 18 44
"beech" "A" 22 31
"spruce" "D" 25 60
"spruce" "D" 26 63
"spruce" "B" 21 46
"beech" "A" 27 24
"spruce" "B" 24 57
"oak" "B" 28 45
"spruce" "B" 27 58
"oak" "C" 33 44
"spruce" "C" 27 50
"oak" "A" 33 71
"spruce" "A" 24 56
"beech" "D" 21 33
"beech" "A" 32 56
"spruce" "D" 24 53
"beech" "B" 26 33
"spruce" "B" 21 47
"fir" "A" 33 43
"spruce" "D" 24 68
"beech" "A" 20 35
"spruce" "C" 24 65
"oak" "A" 29 64
"beech" "A" 34 67
"spruce" "D" 23 33
"birch" "C" 14 25
"beech" "B" 25 47
"beech" "A" 32 60
"oak" "B" 25 54
"oak" "A" 33 75
"oak" "B" 18 30
"beech" "A" 30 63
"beech" "D" 40 72
"oak" "C" 12 24
"birch" "A" 15 34
"beech" "A" 34 53
"beech" "A" 37 60
"oak" "A" 32 41
"beech" "D" 26 45
"spruce" "B" 25 73
"spruce" "C" 23 59
"spruce" "C" 21 27
"fir" "D" 43 28
"beech" "B" 24 39
"beech" "D" 36 60
"oak" "D" 23 40
"oak" "C" 22 32
"spruce" "D" 27 82
"beech" "B" 35 48
"beech" "B" 31 42
"spruce" "A" 25 57
"spruce" "B" 22 52
"beech" "D" 26 48
"beech" "C" 30 68
"beech" "D" 27 39
"birch" "B" 13 27
"birch" "C" 15 33
"oak" "D" 29 76
"oak" "B" 29 62
"spruce" "D" 25 47
"spruce" "B" 22 56
"beech" "C" 27 53
"spruce" "B" 26 66
"oak" "C" 31 68
"spruce" "B" 21 33
"spruce" "B" 25 78
"beech" "D" 31 54
"oak" "D" 28 59
"spruce" "A" 24 48
"oak" "D" 24 38
"spruce" "D" 22 48
"spruce" "C" 16 25
"oak" "D" 17 30
"beech" "B" 28 70
"beech" "C" 26 44
"beech" "D" 23 36
"beech" "D" 26 32
"spruce" "A" 22 43
"beech" "D" 35 78
"oak" "C" 26 49
"beech" "B" 22 36
"spruce" "D" 26 50
"beech" "B" 16 23
"spruce" "B" 22 55
"birch" "C" 11 17
"oak" "D" 19 31
"spruce" "A" 28 74
"fir" "D" 24 33
"birch" "D" 18 50
"oak" "B" 15 36
"spruce" "C" 31 50
"spruce" "A" 22 56
"spruce" "B" 16 30
"fir" "D" 46 48
"beech" "B" 30 41
"oak" "B" 31 72
"beech" "A" 40 58
"oak" "A" 27 48
"spruce" "D" 27 64
"spruce" "B" 29 89
"oak" "B" 20 33
"spruce" "A" 29 76
"oak" "C" 18 41
"beech" "D" 30 75
"beech" "A" 24 39
"beech" "C" 30 53
"fir" "D" 31 35
"spruce" "D" 20 47
"fir" "C" 22 24
"oak" "D" 16 31
"spruce" "B" 25 78
"oak" "B" 11 24
"spruce" "A" 27 75
"beech" "D" 28 50
"spruce" "C" 20 45
"oak" "D" 26 61
"fir" "B" 34 31
"spruce" "D" 22 47
"oak" "B" 15 23
"beech" "A" 27 52
"oak" "B" 20 34
"spruce" "A" 24 60
"oak" "C" 20 30
"oak" "C" 20 44
"oak" "C" 23 51
"beech" "B" 24 46
"spruce" "D" 26 64
"spruce" "D" 24 67
"beech" "A" 40 68
"spruce" "C" 24 63
"spruce" "B" 28 61
"beech" "C" 34 69
"beech" "C" 30 42
"oak" "A" 18 36
"spruce" "A" 27 70
"spruce" "B" 28 66
"beech" "D" 31 47
"beech" "B" 33 58
"spruce" "D" 24 43
"beech" "D" 36 62
"beech" "B" 30 59
"beech" "D" 34 49
"oak" "B" 17 34
"oak" "B" 18 23
"fir" "D" 31 23
"beech" "D" 34 79
"spruce" "D" 27 53
"spruce" "A" 26 62
"oak" "D" 35 58
"beech" "A" 36 98
"oak" "A" 24 47
"oak" "A" 19 33
"beech" "A" 24 50
"oak" "D" 24 45
"beech" "A" 33 56
"spruce" "B" 23 60
"oak" "B" 29 52
"oak" "B" 22 49
"oak" "D" 35 64
"fir" "C" 25 25
"spruce" "C" 23 53
"oak" "D" 24 44
"beech" "D" 29 52
"spruce" "B" 26 59
"beech" "A" 30 56
"spruce" "B" 25 52
"oak" "C" 37 79
"beech" "A" 38 70
"spruce" "D" 27 66
"spruce" "A" 25 48
"oak" "D" 34 53
